BRAND-NAME,CT-REGISTRATION-NUMBER,STATUS,EFFECTIVE,EXPIRATION,OUT-OF-STATE-SHIPPER,SUPERVISOR-CREDENTIAL-,WHOLESALERS
ALMA BRUT CENTENARY TRADITION,LBD.0214866,ACTIVE,04/16/2024 12:00:00 AM,04/15/2027 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSL.0001299,WINEBOW INC (LIW.0000548)
DECOY FEATHERWEIGHT SAUVIGNON BLANC CALIFORNIA,LBD.0235347,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
SONOMA-CUTRER CHARDONNAY RUSSIAN RIVER VALLEY THE CUTRER,LBD.0235346,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
ALFIERI VERMOUTH EXTRA DRY,LBD.0191082,ACTIVE,05/13/2025 12:00:00 AM,05/11/2028 12:00:00 AM,TRI-VIN IMPORTS INC,LCL.0000647,"TRI-VIN IMPORTS INC (LIW.0000708), EUSTELA IMPORTS LLC (LIW.0000730)"
ARGYLE ESTATE RESERVE PINOT NOIR 0467 13.8%,LBD.0221270,ACTIVE,11/01/2024 12:00:00 AM,10/31/2027 12:00:00 AM,"LION NATHAN USA, INC",LSL.0001180,WINEBOW INC (LIW.0000548)
BATTLEHILL GLENTAUCHERS AGED 12 YEARS,LBD.0206458,ACTIVE,07/24/2023 12:00:00 AM,07/23/2026 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSL.0001299,WINEBOW INC (LIW.0000548)
BOWMORE 12YR SHERRY OAK CASK,LBD.0224797,ACTIVE,03/24/2025 12:00:00 AM,03/23/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,"HARTLEY &amp; PARKER, LIMITED, LLC (LIW.0000512)"
BOZAL TOBALA RESERVA MEZCAL,LBD.0228617,ACTIVE,07/15/2025 12:00:00 AM,07/14/2028 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSL.0001299,INTERWINE INC (LIW.0000513)
BROCCARDO I TRE PAIS BAROLO,LBD.0230251,ACTIVE,08/28/2025 12:00:00 AM,08/27/2028 12:00:00 AM,VOTTO VINES IMPORTING LLC,LCL.0000585,VOTTO VINES IMPORTING LLC (LIW.0000625)
BUZZBALLZ CHILLERS FUEGO TAMARITA,LBD.0237021,ACTIVE,04/17/2026 12:00:00 AM,04/16/2029 12:00:00 AM,SAZERAC CO INC,LSL.0000711,"HARTLEY &amp; PARKER, LIMITED, LLC (LIW.0000512)"
BUZZBALLZ COCKTAILS FUEGO TAMARITA,LBD.0237025,ACTIVE,04/17/2026 12:00:00 AM,04/16/2029 12:00:00 AM,SAZERAC CO INC,LSL.0000711,"HARTLEY &amp; PARKER, LIMITED, LLC (LIW.0000512)"
CALERA PINOT NOIR CENTRAL COAST,LBD.0231224,ACTIVE,09/30/2025 12:00:00 AM,09/29/2028 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
CALERA PINOT NOIR MT. HARLAN JENSEN VINEYARD,LBD.0231226,ACTIVE,09/30/2025 12:00:00 AM,09/29/2028 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
CALERA PINOT NOIR MT. HARLAN RYAN VINEYARD,LBD.0231228,ACTIVE,09/30/2025 12:00:00 AM,09/29/2028 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
CHANDON RESERVE BLANC DE BLANCS LOS CARNEROS VINEYARD,LBD.0227819,ACTIVE,06/18/2025 12:00:00 AM,06/17/2028 12:00:00 AM,MOET HENNESSY USA INC,LSL.0000933,BRESCOME BARTON INC (LIW.0000506)
DECOY CABERNET SAUVIGNON ALEXANDER VALLEY LIMITED NP,LBD.0236538,ACTIVE,04/02/2026 12:00:00 AM,04/01/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
DECOY CABERNET SAUVIGNON CALIFORNIA,LBD.0232051,ACTIVE,10/24/2025 12:00:00 AM,10/23/2028 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596), WINEBOW INC (LIW.0000548)"
DECOY PINOT NOIR CALIFORNIA NP,LBD.0235355,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596), WINEBOW INC (LIW.0000548)"
DECOY ROSE WINE CALIFORNIA,LBD.0235237,ACTIVE,03/02/2026 12:00:00 AM,03/01/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"WINEBOW INC (LIW.0000548), EBER-CONNECTICUT, LLC (LIW.0000596)"
DECOY SAUVIGNON BLANC NORTH COAST LIMITED,LBD.0235353,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
DOMAINE BECHTOLD CREMANT D'ALSACE BLANC EXTRA BRUT,LBD.0218789,ACTIVE,08/12/2024 12:00:00 AM,08/11/2027 12:00:00 AM,ROSENTHAL WINE MERCHANT (NY) LTD,LCL.0000564,ROSENTHAL WINE MERCHANT (NY) LTD (LIW.0000597)
DOMINIO DEL UROGALLO BLANCO AB-AL,LBD.0232170,ACTIVE,10/30/2025 12:00:00 AM,10/29/2028 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,"MSW CT LLC (LIW.0000775), MSW CT LLC (LIW.0000594)"
DOMINIO DEL UROGALLO TINTO AT-VN-MN,LBD.0232171,ACTIVE,10/30/2025 12:00:00 AM,10/29/2028 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DUCKHORN WINE COMPANY CHARDONNAY SONOMA COAST LIMITED,LBD.0235352,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
DUCKHORN WINE COMPANY ROSE CALIFORNIA,LBD.0235349,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
DUCKHORN WINE COMPANY SAUVIGNON BLANC CALIFORNIA,LBD.0235735,ACTIVE,03/12/2026 12:00:00 AM,03/11/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
DUCKHORN WINE COMPANY SAUVIGNON BLANC CALIFORNIA,LBD.0235736,ACTIVE,03/12/2026 12:00:00 AM,03/11/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
DUCKHORN WINE COMPANY SAUVIGNON BLANC NORTH COAST ANNIVERSARY CELEBRATION,LBD.0235351,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
EXCELLIA 'BLANCO' AGAVE TEQUILA,LBD.0221481,ACTIVE,11/06/2024 12:00:00 AM,11/05/2027 12:00:00 AM,MHW LTD,LSL.0000675,BRESCOME BARTON INC (LIW.0000506)
FREAKSHOW PETITE PETIT LODI RED WINE,LBD.0221284,ACTIVE,11/01/2024 12:00:00 AM,10/31/2027 12:00:00 AM,PHILLIPS FARMS LLC,LSW.0000619,CONNECTICUT DISTRIBUTORS INC (LIW.0000532)
FRIENDS SONOMA RED WINE BLEND,LBD.0228150,ACTIVE,06/27/2025 12:00:00 AM,06/26/2028 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSL.0001299,"MONSIEUR TOUTON SELECTIONS (CT) LTD (LIW.0000631), BRESCOME BARTON INC (LIW.0000506)"
GORDON & MACPHAIL CC CASK STRENGTH - CAOL ILA 2008,LBD.0209121,ACTIVE,10/12/2023 12:00:00 AM,10/11/2026 12:00:00 AM,MHW LTD,LSL.0000675,"EBER-CONNECTICUT, LLC (LIW.0000596)"
HEAVEN'S DOOR AGED 10 YEARS DECADE SERIES III  DOUBLE BARREL WHISKEY,LBD.0216147,ACTIVE,05/24/2024 12:00:00 AM,05/23/2027 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSL.0001299,CONNECTICUT DISTRIBUTORS INC (LIW.0000532)
JEROME CHEZEAUX BOURGOGNE ROUGE,LBD.0218784,ACTIVE,08/12/2024 12:00:00 AM,08/11/2027 12:00:00 AM,ROSENTHAL WINE MERCHANT (NY) LTD,LCL.0000564,ROSENTHAL WINE MERCHANT (NY) LTD (LIW.0000597)
JOSEF FISCHER GRUNER VELTLINER WACHAU FEDERSPIEL,LBD.0218792,ACTIVE,08/12/2024 12:00:00 AM,08/11/2027 12:00:00 AM,ROSENTHAL WINE MERCHANT (NY) LTD,LCL.0000564,ROSENTHAL WINE MERCHANT (NY) LTD (LIW.0000597)
KOSTA BROWNE PINOT NOIR RUSSIAN RIVER VALLEY 0092,LBD.0236922,ACTIVE,04/13/2026 12:00:00 AM,04/12/2029 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,
KOSTA BROWNE PINOT NOIR STA. RITA HILLS OBSERVATIONS - SANFORD & BENEDICT,LBD.0232682,ACTIVE,11/21/2025 12:00:00 AM,11/20/2028 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,
