id_marca,nombre_marca,numero_registro,estado_registro
1,#ADULTING,LBD.0128591,ACTIVE
2,#GVLTAT,LBD.0204784,ACTIVE
3,#LOVEISLOVE,LBD.0211940,ACTIVE
4,'23 BHEEYO WINE,LBD.0211603,ACTIVE
5,'23 MONJE WINE,LBD.0211604,ACTIVE
6,'MERICAN MULE LIGHT MOSCOW MULE,LBD.0215013,ACTIVE
7,'MERICAN MULE MEXICAN MULE,LBD.0215011,ACTIVE
8,'MERICAN MULE MOSCOW MULE,LBD.0215009,ACTIVE
9,'MERICAN MULE SOUTHERN MULE,LBD.0215012,ACTIVE
10,'MERICAN MULE TROPICAL MULE,LBD.0215010,ACTIVE
11,(NO) GREEN BEER,LBD.0185308,ACTIVE
12,- 196 ZERO SUGAR LEMON VODKA SELTZER,LBD.0225068,ACTIVE
13,-196 GRAPEFRUIT & CHERRY,LBD.0232190,ACTIVE
14,-196 GRAPEFRUIT SELTZER 11PF,LBD.0221459,ACTIVE
15,-196 GRAPEFRUIT VODKA SELTZER,LBD.0210321,ACTIVE
16,-196 LEMON AND LIME VODKA SELTZER,LBD.0223116,ACTIVE
17,-196 LEMON AND RASPBERRY VODKA SELTZER,LBD.0223120,ACTIVE
18,-196 LEMON GREEN TEA,LBD.0235334,ACTIVE
19,-196 LEMON SELTZER 11PF,LBD.0221452,ACTIVE
20,-196 LEMON SELTZER TALL BOY,LBD.0228117,ACTIVE
21,-196 LEMON VODKA SELTZER,LBD.0210308,ACTIVE
22,-196 PEACH & MANGO,LBD.0232191,ACTIVE
23,-196 PEACH GREEN TEA,LBD.0235335,ACTIVE
24,-196 PEACH SELTZER 11PF,LBD.0221453,ACTIVE
25,-196 PEACH VODKA SELTZER,LBD.0210315,ACTIVE
26,-196 STRAWBERRY & KIWI,LBD.0232192,ACTIVE
27,-196 STRAWBERRY & PINEAPPLE VODKA SELTZER TALL BOY,LBD.0233107,ACTIVE
28,-196 STRAWBERRY AND PINEAPPLE VODKA SELTZER,LBD.0223121,ACTIVE
29,-196 STRAWBERRY AND WATERMELON VODKA SELTZER,LBD.0223123,ACTIVE
30,-196 STRAWBERRY GREEN TEA,LBD.0235336,ACTIVE
31,-196 STRAWBERRY SELTZER,LBD.0221125,ACTIVE
32,-196 STRAWBERRY VODKA SELTZER TALL BOY,LBD.0233145,ACTIVE
33,-196 YUZU & LEMON,LBD.0232193,ACTIVE
34,-196 YUZU GREEN TEA,LBD.0235337,ACTIVE
35,///FEAR.MOVIE.LIONS,LBD.0144903,ACTIVE
36,00 WINES EGW CHARDONNAY,LBD.0220598,ACTIVE
37,00 WINES SEVEN SPRINGS CHARDONNAY,LBD.0220599,ACTIVE
38,00 WINES VGR,LBD.0220600,ACTIVE
39,00 WINES VGW CHARDONNAY WILLAMETTE VALLEY,LBD.0185111,ACTIVE
40,001 VINTNERS CABERNET SAUVIGNON,LBD.0214299,ACTIVE
41,001 VINTNERS ECOTONE VINEYARD MERLOT,LBD.0235932,ACTIVE
42,064-SEVEN SEVEN,LBD.0187789,ACTIVE
43,1 BEEN JUICIN',LBD.0149024,ACTIVE
44,1 DEGREE OF RIESLING,LBD.0166779,ACTIVE
45,1/1 GRENACHE,LBD.0213472,ACTIVE
46,10 BARREL BREWING CO. PUB BEER,LBD.0215318,ACTIVE
47,10 BARREL BREWING CO. PUB CERVEZA,LBD.0215319,ACTIVE
48,10 BARREL BREWING CO. PUB ICE ORIGINAL,LBD.0212295,ACTIVE
49,10 BARREL BREWING COMPANY PUB ICE FRUIT PUNCH,LBD.0212293,ACTIVE
50,10 BARREL BREWING COMPANY PUB ICE SCREWDRIVER,LBD.0212294,ACTIVE
51,10 BARREL TRAIL BEER,LBD.0144692,ACTIVE
52,10 MILE BRIDGE RED,LBD.0174135,ACTIVE
53,10 MILE BRIDGE WHITE,LBD.0127053,ACTIVE
54,10 SPAN-PINOT NOIR CENTRAL COAST,LBD.0108548,ACTIVE
55,100 ANOS ANEJO 100% AGAVE,LBD.0077243,ACTIVE
56,100 ANOS BLANCO,LBD.0057994,ACTIVE
57,100 ANOS REPOSADO,LBD.0043703,ACTIVE
58,100 SEASONS LIGHT WHISKEY,LBD.0170194,ACTIVE
59,1000 STORIES AMERICAN BARREL - AGED CHARDONNAY CALIFORNIA,LBD.0200198,ACTIVE
60,1000 STORIES CABERNET SAUVIGNON CALIFORNIA,LBD.0148833,ACTIVE
61,1000 STORIES CABERNET SAUVIGNON PROSPECTORS' PROOF CALIFORNIA,LBD.0151045,ACTIVE
62,1000 STORIES CHARDONNAY CALIFORNIA,LBD.0161124,ACTIVE
63,1000 STORIES HIGH ALCOHOL CABERNET SAUVIGNON,LBD.0220065,ACTIVE
64,1000 STORIES PINOT NOIR CALIFORNIA,LBD.0189195,ACTIVE
65,1000 STORIES RED BLEND GOLD RUSH RED CALIFORNIA,LBD.0127645,ACTIVE
66,1000 STORIES SAUVIGNON BLANC CALIFORNIA,LBD.0199105,ACTIVE
67,1000 STORIES SAUVIGNON BLANC MAJESTIC,LBD.0229943,ACTIVE
68,1000 STORIES ZINFANDEL CALIFORNIA,LBD.0110620,ACTIVE
69,101 NORTH CABERNET SAUVIGNON,LBD.0175093,ACTIVE
70,101 NORTH CHARDONNAY,LBD.0175094,ACTIVE
71,101 NORTH MOSCATO,LBD.0175095,ACTIVE
72,101 NORTH PINOT GRIGIO,LBD.0175096,ACTIVE
73,101 NORTH ROSE',LBD.0175559,ACTIVE
74,1010 CLASSIC MOJITO,LBD.0228726,ACTIVE
75,1010 MANGO COLADA,LBD.0228725,ACTIVE
76,1010 PINA COLADA,LBD.0228724,ACTIVE
77,10SPAN CABERNET SAUVIGNON CENTRAL COAST,LBD.0102110,ACTIVE
78,10SPAN CHARDONNAY CENTRAL COAST,LBD.0102111,ACTIVE
79,10SPAN CHARDONNAY SANTA BARBARA COUNTY,LBD.0099932,ACTIVE
80,10SPAN PINOT GRIS MONTEREY COUNTY,LBD.0099933,ACTIVE
81,10SPAN PINOT NOIR SANTA BARBARA COUNTY,LBD.0099934,ACTIVE
82,11 POUNDERS,LBD.0208022,ACTIVE
83,111 RED BLEND,LBD.0192970,ACTIVE
84,11TH ANNIVERSARY SODO STEEL IPA,LBD.0234455,ACTIVE
85,12 E MEZZO CHARDONNAY ORGANIC,LBD.0139454,ACTIVE
86,12 E MEZZO PRIMITIVO,LBD.0126392,ACTIVE
87,12 E MEZZO PRIMITIVO ORGANIC,LBD.0139455,ACTIVE
88,12 KNIGHTS OPULENT RED,LBD.0175075,ACTIVE
89,12 OUZO,LBD.0193027,ACTIVE
90,12 POLOTMAVY,LBD.0217437,ACTIVE
91,123 ORGANIC ANEJO (TRES) TEQUILA,LBD.0216440,ACTIVE
92,123 ORGANIC BLANCO (UNO) TEQUILA,LBD.0216438,ACTIVE
93,123 ORGANIC REPOSADO (DOS) TEQUILA,LBD.0216439,ACTIVE
94,12:43 SOUR SERIES BLACKBERRY,LBD.0205771,ACTIVE
