id_mayorista,nombre_mayorista,licencia_mayorista
1,,LIW.0000543
2,,LIW.0000639
3,504 IMPORT & DISTRIBUTION LLC,LIW.0000658
4,55 DEGREES DISTRIBUTION LLC,LIW.0000649
5,A GALLO COMPANY OF LITCHFIELD,LIW.0000540
6,A MISSING LINK LLC,LIW.0000659
7,AA WORLDWIDE LLC,LIW.0000765
8,ACE DISTRIBUTING LLC,LIW.0000580
9,AMTEC INTERNATIONAL OF NY CORP,LIW.0000605
10,ANGELINI WINE LTD,LIW.0000519
11,ANGELS SHARE WINE IMPORTS LLC,LIW.0000698
12,ARKO,LIW.0000571
13,ARTISAN WINES INC,LIW.0000641
14,"ATLANTIC IMPORTING OF CT, INC",LIW.0000751
15,ATOMIC IMPORTS & EXPORTS INC,LIW.0000606
16,AVENTINE HILL LLC,LIW.0000600
17,B UNITED INTERNATIONAL INC,LIW.0000673
18,BRESCOME BARTON INC,LIW.0000506
19,BUSINESS MICROCOSM CORPORATION,LIW.0000562
20,CELLAR FINE WINES,LIW.0000680
21,CLASSIC WINES INC,LIW.0000565
22,CONNECTICUT BEVERAGE CO,LIW.0000530
23,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
24,CORUS LLC,LIW.0000611
25,CRAFT BEER GUILD DISTRIBUTING OF CONNECTICUT LLC,LIW.0000682
26,DB WINE SELECTION INC,LIW.0000642
27,DICHELLO DISTRIBUTORS INC,LIW.0000516
28,DOS LOCOS LLC,LIW.0000767
29,DRINX UNLIMITED INC,LIW.0000573
30,"DRINX UNLIMITED, INC",LIW.0000711
31,DWAN & COMPANY,LIW.0000514
32,"EBER-CONNECTICUT, LLC",LIW.0000596
33,"EDER-GOODMAN, LLC",LIW.0000502
34,"EDER-GOODMAN, LLC",LIW.0000531
35,EUSTELA IMPORTS LLC,LIW.0000730
36,EVATON INC,LIW.0000551
37,F & F DISTRIBUTORS INC,LIW.0000504
38,FINE TERROIR SELECTIONS LLC,LIW.0000629
39,FRANKLIN DISTRIBUTORS,LIW.0000510
40,G & G BEVERAGE DIST INC,LIW.0000509
41,GATHERING HARVESTS LLC,LIW.0000651
42,GATHERING HARVESTS LLC,LIW.0000758
43,HARTFORD DISTRIBUTORS INC,LIW.0000505
44,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
45,HENRY PROVISIONS LLC,LIW.0000742
46,HIGHLAND IMPORTS LLC,LIW.0000675
47,HOUSATONIC WINE COMPANY OF CONNECTICUT LLC,LIW.0000732
48,INDIE WINE INC,LIW.0000777
49,INTERWINE INC,LIW.0000513
50,INVOER EKKE LLC,LIW.0000713
51,JAILHOUSE SPIRITS LLC,LIW.0000691
52,JANDELL SELECTIONS LTD,LIW.0000635
53,JR & N COMPANY LLC,LIW.0000726
54,LA VILLE IMPORTS INC,LIW.0000772
55,LATITUDE BEVERAGE COMPANY INC,LIW.0000648
56,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
57,LIBERATION DISTRIBUTION LLC,LIW.0000743
58,LTD,LIW.0000597
59,LTD,LIW.0000631
60,LUNEAU USA INC,LIW.0000545
61,M & J LLC,LIW.0000695
62,MAJA IMPORTS,LIW.0000542
63,MARTIN SCOTT WINES LTD,LIW.0000585
64,MASSANOIS CT LLC,LIW.0000753
65,MASTER BRANDS LLC,LIW.0000666
66,MD & S DISTRIBUTORS LLC,LIW.0000724
67,MINA FOODS INC,LIW.0000567
68,MONSIEUR TOUTON SELECTION LTD,LIW.0000537
69,MSW CT LLC,LIW.0000594
70,MSW CT LLC,LIW.0000775
71,MURPHY BEVERAGE COMPANY INC,LIW.0000627
72,MUTINY DISTRIBUTION LLC,LIW.0000745
73,NBM INC.,LIW.0000773
74,NEW ENGLAND BEVERAGE LLC,LIW.0000674
75,NEW ENGLAND CELLARS CT LLC,LIW.0000769
76,NEW ENGLAND WINE & SPIRITS INC,LIW.0000534
77,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
78,OLDE & NEW WORLD INC,LIW.0000706
79,ORGANIC VINTAGES,LIW.0000554
80,PAROLVINI US CORP,LIW.0000665
81,PERA WINES LLC,LIW.0000710
82,QM 1 LLC,LIW.0000756
83,RD AMERICA LLC,LIW.0000688
84,REMARKABLE LIQUIDS LLC,LIW.0000763
85,ROGO DISTRIBUTORS,LIW.0000508
86,ROJAS INTERNATIONAL CORPORATION,LIW.0000621
87,SARENE CRAFT BEER DISTRIBUTORS OF CONNECTICUT LLC,LIW.0000696
88,SAUSKA WINES LLC,LIW.0000704
89,SAVORIAN INC,LIW.0000676
90,"SERGE DORE SELECTIONS CT, LLC",LIW.0000737
91,SLOCUM & SONS INC,LIW.0000521
92,STAR DISTRIBUTORS INC,LIW.0000533
93,SUTTON & MAXWELL IMPORTS LLC,LIW.0000637
94,"Sauska Wines, LLC",LIW.0000774
95,T EDWARD CONNECTICUT LTD,LIW.0000576
96,THE LYMAN FARM INCORPORATED,LIW.0000736
97,TRI-VIN IMPORTS INC,LIW.0000708
98,TWT VINTNERS CONNECTICUT LLC,LIW.0000714
99,"VILLAGE GREEN PRESERVATION SOCIETY WINE AND SPIRITS, LLC",LIW.0000749
100,VINIFERA IMPORTS LTD,LIW.0000517
101,VINTAGE TRADING LLC,LIW.0000593
102,VOS VINUM IMPORTING LTD,LIW.0000687
103,VOTTO VINES IMPORTING LLC,LIW.0000625
104,WHITSERVE LLC,LIW.0000770
105,WILSON DANIELS WHOLESALE LLC,LIW.0000716
106,WINAM WINES LLC,LIW.0000640
107,WINE CELLAR IMPORTS OF CT INC,LIW.0000755
108,"WINE TWIST DISTRIBUTOR, LLC",LIW.0000733
109,WINEBOW INC,LIW.0000548
110,WORLDWIDE WINES INC,LIW.0000520
