id_proveedor,proveedor_remitente,credencial_supervisor
1,'MERICAN MULE,LSL.0001760
2,001 VINTNERS LLC,LSW.0001793
3,1-800 WINESHOP.COM INC,LSW.0000432
4,1185 LLC,LSL.0002016
5,1260 SUMMIT LAKE LLC,LSW.0001742
6,1925 SPIRITS LLC,LSL.0002453
7,21 HOLDINGS LLC,LSL.0001969
8,21ST AMENDMENT BREWERY CAFE LLC,LSB.0001069
9,21ST CENTURY SPIRITS LLC,LSL.0001099
10,22 HUNDRED CELLARS INC,LSW.0001507
11,24 LIGNE LLC,LSL.0002389
12,26 BRIX LLC,LSW.0000984
13,325 BOWERY INC,LSB.0001060
14,"768 WINERY, LLC",LSW.0001799
15,773 LLC,LSL.0002405
16,A RAFANELLI WINERY AND VINEYARDS LP,LSW.0001205
17,A TO Z WINEWORKS LLC,LSL.0002186
18,A TO Z WINEWORKS LLC,LSL.0002447
19,A TO Z WINEWORKS LLC,LSW.0001778
20,A&R LAMONICA RESTAURANTS LLC,LMB.0001704
21,ABEJA LLC,LSW.0000669
22,ABITA BREWING COMPANY LLC,LSB.0000760
23,ABREOJOS SPIRITS LLC,LSL.0001846
24,ABREU VINEYARDS INC,LSW.0000263
25,ABW VIRGINIA BEACH LLC,LSB.0001181
26,ACA CELLARS LLC,LSW.0001514
27,ACCOMPLICE WINES LLC,LSW.0001600
28,ACKERMAN FAMILY VINEYARDS LLC,LSW.0001831
29,ACKLEY BRANDS LTD,LSL.0002192
30,ACKLEY BRANDS LTD,LSW.0000284
31,ACTIVE INGREDIENT BREWING COMPANY,LSB.0001184
32,"ADAIR B.R. COHN, LLC",LSW.0001894
33,"ADAIR CLOS PEGASE, LLC",LSW.0001893
34,"ADAIR FAMILY WINES, LLC",LSW.0001906
35,"ADAIR GIRARD, LLC",LSW.0001895
36,"ADAIR KUNDE, LLC",LSW.0001896
37,"ADAIR VIANSA, LLC",LSW.0001897
38,ADAMBA IMPORTS INT'L INC,LSL.0000690
39,ADAMS WINERY LLC,LSW.0000358
40,ADAMVS LLC,LSW.0000462
41,ADELAIDA CELLARS INC,LSW.0001166
42,ADELSHEIM VINEYARD LLC,LSW.0001090
43,ADIRONDACK WINERY LLC,LSW.0001525
44,ADVANTAGE INTERNATIONAL DISTRIBUTORS INC,LSL.0001096
45,AFFINITY WINES LLC,LSL.0002334
46,AHA PARTNERS LLC,LSW.0000774
47,AIKO IMPORTERS INC,LSL.0001151
48,AIRFIELD ESTATES,LSW.0001549
49,AKA WINES LLC,LSW.0001315
50,ALA BRI ACRES FARM LLC,LFW.0000103
51,ALAMBIC INC,LSL.0000920
52,ALBERT BICHOT USA LLC,LSL.0001818
53,ALCHEMIST SPIRITS LLC,LSL.0002459
54,ALCHEMY BREWING STOWE LLC,LSB.0001054
55,ALEXANDER VALLEY VINEYARDS,LSL.0000951
56,ALLAGASH BREWING CO,LSB.0000575
57,ALLIED IMPORTERS USA LTD,LSL.0001789
58,ALLTECH'S LEXINGTON BREWING CO,LSB.0000852
59,ALLTECH'S LEXINGTON BREWING CO,LSL.0001499
60,ALPHA AND OMEGA WINERY LLC,LSW.0000937
61,ALTAMAR BRANDS LLC,LSL.0001140
62,ALTAMURA WINERY INC,LSW.0000361
63,ALVARIUM BEER COMPANY LLC,LMB.0001575
64,AMBA BREWING LLC,LSB.0001202
65,AMERICAL BEVERAGE GROUP INC,LSL.0002353
66,AMERICAN B D COMPANY,LSL.0000510
67,AMERICAN BEVERAGE CORP,LSL.0001009
68,"AMERICAN BEVERAGE CRAFTS, LLC",LSB.0001174
69,AMERICAN BEVERAGE HOLDINGS LLC,LSB.0001144
70,"AMERICAN CRAFT BEER, LLC",LSB.0001237
71,AMERICAN TAILORED WINES LLC,LSL.0002336
72,AMERICAN VINTAGE BEVERAGE INC,LSL.0001567
73,AMERICAN VINTNERS LLC,LSL.0001815
74,AMERICAN WINE TRADE INC,LSW.0000772
75,AMICI CELLARS INC,LSW.0001287
76,AMIGO BRANDS LLC,LSL.0002170
77,AMIZETTA VINEYARDS WINERY LLC,LSW.0001221
78,AMTEC INTERNATIONAL OF NY CORP,LCB.0000517
79,AMTEC INTERNATIONAL OF NY CORP,LCL.0000574
80,AMULET ESTATE LLC,LSW.0001740
81,AMUSE BOUCHE LLC,LSW.0000287
82,ANDERSON'S CONN VALLEY WINERY INC,LSW.0000397
83,ANDREWS VINEYARDS,LSW.0001890
