id_registro,id_tiempo_inicio,id_tiempo_vencimiento,id_marca,id_proveedor,id_estado,dias_vigencia,dias_para_vencer,tiene_mayorista,cantidad_mayoristas
1,95,1253,71572,78,3,1094,57,0,0
2,679,1837,40611,79,1,1094,641,1,1
3,95,1253,52860,79,3,1094,57,0,0
4,140,1299,40448,1076,1,1094,102,0,0
5,140,1299,14200,1076,1,1094,102,0,0
6,739,1897,30581,561,1,1094,701,1,3
7,870,2028,17206,561,1,1094,832,1,3
8,748,1906,27289,1728,1,1094,710,1,1
9,748,1906,27287,1728,1,1094,710,1,1
10,377,1535,51940,950,1,1093,338,1,1
11,377,1535,51941,950,1,1093,338,1,1
12,361,1519,35305,248,1,1093,322,1,1
13,361,1519,35269,248,1,1093,322,1,1
14,494,1652,9597,1825,1,1093,455,1,1
15,442,1600,2114,1450,1,1093,403,1,1
16,500,1658,41930,909,1,1093,461,1,2
17,605,1763,58796,524,1,1093,566,1,1
18,843,2001,53157,1272,1,1094,805,1,2
19,843,2001,53159,1272,1,1094,805,1,2
20,150,1309,54199,1450,1,1094,112,0,0
21,203,1362,27860,1450,1,1094,165,1,1
22,204,1363,16198,1450,1,1094,166,0,0
23,560,1718,9930,1450,1,1093,521,1,1
24,203,1362,64042,1450,1,1094,165,1,1
25,895,2054,43941,524,1,1095,858,1,1
26,895,2054,43939,524,1,1095,858,1,1
27,500,1658,41926,909,1,1093,461,1,2
28,543,1701,12272,950,1,1093,504,1,1
29,500,1658,41874,909,1,1093,461,1,2
30,500,1658,41914,909,1,1093,461,1,2
31,477,1635,4396,950,1,1093,438,1,2
32,292,1451,21164,1739,1,1094,254,1,3
33,246,1405,21768,721,1,1094,208,1,1
34,846,2004,4357,138,1,1094,808,1,2
35,269,1428,20994,721,1,1094,231,1,1
36,216,1375,43936,721,1,1094,178,1,1
37,935,2093,67762,1750,1,1094,897,1,1
38,252,1411,67765,1750,1,1094,214,1,1
39,177,1336,17634,84,1,1094,139,1,1
40,281,1440,33896,84,1,1094,243,1,1
41,302,1461,17636,84,1,1094,264,1,1
42,352,1510,33239,753,1,1093,313,1,4
43,352,1510,33240,753,1,1093,313,1,4
44,352,1510,33247,753,1,1093,313,1,2
45,352,1510,33250,753,1,1093,313,1,4
46,352,1510,33249,753,1,1093,313,1,4
47,352,1510,33245,753,1,1093,313,1,3
48,352,1510,33246,753,1,1093,313,1,4
49,352,1510,33241,753,1,1093,313,1,2
50,191,1350,35503,813,1,1094,153,0,0
51,192,1351,35505,813,1,1094,154,0,0
52,191,1350,35498,813,1,1094,153,0,0
53,191,1350,35497,813,1,1094,153,0,0
54,375,1533,35504,813,1,1093,336,0,0
55,375,1533,35506,813,1,1093,336,0,0
56,375,1533,35499,813,1,1093,336,0,0
57,375,1533,35496,813,1,1093,336,0,0
58,375,1533,35500,813,1,1093,336,0,0
59,375,1533,35509,813,1,1093,336,0,0
60,136,1295,4617,715,1,1094,98,0,0
61,136,1295,4615,715,1,1094,98,0,0
62,487,1645,59909,1032,1,1093,448,1,1
63,421,1579,51144,950,1,1093,382,1,2
64,421,1579,51146,950,1,1093,382,1,2
65,421,1579,51143,950,1,1093,382,1,2
66,421,1579,51145,950,1,1093,382,1,2
67,517,1675,8915,236,1,1093,478,1,4
68,517,1675,8916,236,1,1093,478,1,4
69,517,1675,8919,236,1,1093,478,1,4
70,517,1675,8925,236,1,1093,478,1,4
71,517,1675,8928,236,1,1093,478,1,4
72,517,1675,8929,236,1,1093,478,1,4
73,517,1675,8930,236,1,1093,478,1,4
74,517,1675,8934,236,1,1093,478,1,4
75,517,1675,8936,236,1,1093,478,1,4
76,517,1675,8937,236,1,1093,478,1,4
77,517,1675,8940,236,1,1093,478,1,4
78,517,1675,8923,236,1,1093,478,1,4
79,1136,2287,32863,756,1,1094,1091,1,1
80,557,1715,28153,621,1,1093,518,1,1
81,822,1981,28155,621,1,1095,785,1,1
82,822,1981,28173,621,1,1095,785,1,1
83,822,1981,28176,621,1,1095,785,1,1
84,445,1603,28178,621,1,1093,406,1,1
85,851,2009,28168,621,1,1094,813,1,1
86,851,2009,28146,621,1,1094,813,1,1
87,499,1657,28144,621,1,1093,460,1,1
88,321,1479,28174,621,1,1093,282,1,1
89,499,1657,28145,621,1,1093,460,1,1
90,881,2039,4613,715,1,1094,843,0,0
91,881,2039,16482,715,1,1094,843,0,0
92,881,2039,4614,715,1,1094,843,0,0
93,881,2039,4616,715,1,1094,843,0,0
94,881,2039,4618,715,1,1094,843,0,0
95,881,2039,4611,715,1,1094,843,0,0
96,881,2039,4608,715,1,1094,843,0,0
97,881,2039,4609,715,1,1094,843,0,0
98,881,2039,4610,715,1,1094,843,0,0
99,317,1475,10310,86,1,1093,278,1,1
100,359,1517,52115,1035,1,1093,320,1,1
101,591,1750,45907,409,1,1094,553,1,3
102,360,1518,54908,145,1,1093,321,1,1
103,102,1261,17401,1071,1,1094,64,1,4
104,769,1927,17391,1071,1,1094,731,1,4
105,286,1445,31420,1071,1,1094,248,1,4
106,997,2156,45605,1071,1,1095,960,1,2
107,96,1255,1980,56,3,1094,58,1,1
108,750,1908,68023,317,1,1094,712,1,2
109,633,1791,60978,86,1,1093,594,1,3
110,633,1791,60977,86,1,1093,594,1,3
111,633,1791,60976,86,1,1093,594,1,3
112,644,1802,27986,86,1,1093,605,1,4
113,1063,2221,52328,160,1,1094,1025,1,2
114,737,1895,52330,160,1,1094,699,1,2
115,533,1691,2456,581,1,1093,494,1,2
116,583,1741,12853,160,1,1093,544,1,2
117,424,1582,52587,160,1,1093,385,0,0
118,859,2018,22605,581,1,1095,822,1,2
119,650,1809,43672,581,1,1094,612,1,2
120,650,1809,43674,581,1,1094,612,1,2
121,652,1810,53271,160,1,1093,613,1,2
122,639,1797,56286,160,1,1093,600,1,2
123,929,2088,12114,581,1,1095,892,1,1
124,1033,2191,12112,581,1,1094,995,1,1
125,565,1723,12117,581,1,1093,526,1,1
126,489,1647,12123,581,1,1093,450,1,1
127,822,1980,28270,581,1,1094,784,1,1
128,167,1326,28274,581,1,1094,129,1,1
129,502,1661,28281,581,1,1094,464,0,0
130,503,1662,28277,581,1,1094,465,1,2
131,685,1843,12217,160,1,1094,647,1,2
132,433,1591,17522,1800,1,1093,394,1,2
133,433,1591,17520,1800,1,1093,394,1,2
134,433,1591,17521,1800,1,1093,394,1,2
135,632,1790,27742,1800,1,1093,593,1,1
136,632,1790,27740,1800,1,1093,593,1,1
137,842,2000,44518,1800,1,1094,804,1,1
138,842,2000,44512,1800,1,1094,804,0,0
139,842,2000,44520,1800,1,1094,804,0,0
140,842,2000,44517,1800,1,1094,804,0,0
141,950,2108,27961,1800,1,1094,912,0,0
142,950,2108,27960,1800,1,1094,912,0,0
143,268,1427,54458,515,1,1094,230,1,2
144,423,1581,2221,62,1,1093,384,1,1
145,419,1577,2218,62,1,1093,380,1,1
146,487,1645,63072,515,1,1093,448,1,1
147,135,1294,66232,1633,1,1094,97,1,3
148,1065,2223,56917,1359,1,1094,1027,1,2
149,1065,2223,56918,1359,1,1094,1027,1,2
150,102,1261,16040,361,1,1094,64,1,1
151,1065,2223,56913,1359,1,1094,1027,1,2
152,508,1666,5242,163,1,1093,469,1,1
153,598,1756,54457,515,1,1093,559,1,2
154,843,2001,53166,1272,1,1094,805,1,2
155,843,2001,53154,1272,1,1094,805,1,2
156,540,1698,32884,1218,1,1093,501,1,3
157,484,1642,51276,1634,1,1093,445,1,3
158,484,1642,51292,1634,1,1093,445,1,3
159,531,1690,48019,617,1,1094,493,1,1
160,727,1885,45110,1268,1,1094,689,1,1
161,727,1885,45102,1268,1,1094,689,1,1
162,727,1885,45107,1268,1,1094,689,1,1
163,727,1885,45101,1268,1,1094,689,1,1
164,279,1438,65664,1268,1,1094,241,1,1
165,555,1713,53654,1268,1,1093,516,1,1
166,784,1942,20914,853,1,1094,746,1,2
167,463,1621,16309,853,1,1093,424,1,2
168,578,1736,39972,853,1,1093,539,1,1
169,720,1878,42526,853,1,1094,682,1,2
170,1048,2206,32875,853,1,1094,1010,1,2
171,957,2115,55150,853,1,1094,919,1,2
172,1081,2239,30634,853,1,1094,1043,1,2
173,319,1477,20108,853,1,1093,280,1,2
174,463,1621,68367,853,1,1093,424,1,2
175,1081,2239,68368,853,1,1094,1043,1,2
176,1132,2285,20149,1825,1,1094,1089,1,1
177,119,1278,24437,1690,1,1094,81,1,2
178,687,1845,56840,1196,1,1094,649,1,1
179,621,1779,43440,545,1,1093,582,1,1
180,341,1499,43442,545,1,1093,302,1,1
181,649,1807,28376,545,1,1093,610,1,1
182,773,1931,43380,545,1,1094,735,1,1
183,314,1472,41031,1047,1,1093,275,1,1
184,589,1747,27349,260,1,1093,550,1,1
185,589,1747,27345,260,1,1093,550,1,2
186,233,1386,17965,260,1,1088,189,1,1
187,389,1547,58636,1239,1,1093,350,0,0
188,108,1267,44463,1022,1,1094,70,1,1
189,975,2133,63374,515,1,1094,937,1,2
190,71,1209,34140,1129,3,1094,33,1,3
191,913,2071,43272,515,1,1094,875,1,2
192,268,1427,55303,515,1,1094,230,1,2
193,152,1311,2094,1800,1,1094,114,0,0
194,268,1427,50814,515,1,1094,230,1,2
195,268,1427,50803,515,1,1094,230,1,2
196,268,1427,43275,515,1,1094,230,1,2
197,268,1427,43276,515,1,1094,230,1,2
198,507,1666,37726,268,1,1094,469,0,0
199,526,1684,3466,1068,1,1093,487,1,3
200,1044,2202,66756,1396,1,1094,1006,1,2
201,458,1616,23861,1396,1,1093,419,1,3
202,599,1758,70814,268,1,1094,561,1,2
203,370,1529,8452,581,1,1094,332,1,1
204,442,1600,11093,1396,1,1093,403,1,3
205,135,1294,49465,344,1,1094,97,1,2
206,359,1517,49462,344,1,1093,320,1,2
207,991,2149,39834,893,1,1094,953,1,2
208,520,1678,24489,727,1,1093,481,1,1
209,612,1770,26603,727,1,1093,573,1,1
210,983,2141,5505,727,1,1094,945,1,1
211,676,1834,15483,727,1,1094,638,1,1
212,1170,2304,15487,727,1,1094,1108,1,1
213,1170,2304,15484,727,1,1094,1108,1,1
214,1170,2304,15485,727,1,1094,1108,1,1
215,1170,2304,15486,727,1,1094,1108,1,1
216,1170,2304,15491,727,1,1094,1108,1,1
217,1170,2304,15492,727,1,1094,1108,1,1
218,1170,2304,15488,727,1,1094,1108,1,1
219,593,1751,19752,984,1,1093,554,1,1
220,593,1751,19753,984,1,1093,554,1,1
221,593,1751,19755,984,1,1093,554,1,1
222,430,1588,39061,984,1,1093,391,0,0
223,437,1595,39060,984,1,1093,398,0,0
224,355,1513,54249,984,1,1093,316,1,1
225,394,1552,5323,445,1,1093,355,1,3
226,822,1980,52725,1747,1,1094,784,1,3
227,912,2070,52726,1747,1,1094,874,1,3
228,822,1980,52730,1747,1,1094,784,1,2
229,163,1322,5294,1750,1,1094,125,1,2
230,256,1415,4366,300,1,1094,218,1,1
231,775,1933,18982,1158,1,1094,737,1,1
232,774,1932,18983,1158,1,1094,736,1,1
233,1005,2163,49745,815,1,1094,967,1,1
234,1005,2163,49739,815,1,1094,967,1,1
235,1005,2163,49735,815,1,1094,967,1,1
236,1005,2163,49750,815,1,1094,967,1,1
237,682,1840,48735,561,1,1094,644,1,2
238,998,2156,55237,1045,1,1094,960,1,2
239,998,2156,55239,1045,1,1094,960,1,2
240,998,2156,55240,1045,1,1094,960,1,2
241,1073,2231,32241,1045,1,1094,1035,1,1
242,1111,2269,55425,1045,1,1094,1073,1,1
243,70,1207,55235,1045,3,1094,32,1,2
244,909,2067,1138,1045,1,1094,871,1,1
245,93,1249,62672,1533,3,1094,55,0,0
246,601,1759,62684,1533,1,1093,562,0,0
247,706,1864,62703,1533,1,1094,668,0,0
248,1250,2342,62707,1533,1,1094,1150,0,0
249,121,1280,62696,1533,1,1094,83,0,0
250,225,1384,63877,1533,1,1094,187,1,1
251,360,1518,62857,1533,1,1093,321,1,1
252,360,1518,62858,1533,1,1093,321,1,1
253,360,1518,62859,1533,1,1093,321,1,1
254,710,1868,62706,1533,1,1094,672,1,1
255,352,1510,62251,1004,1,1093,313,1,2
256,557,1715,61449,1441,1,1093,518,1,2
257,132,1291,61371,1441,1,1094,94,1,1
258,132,1291,61377,1441,1,1094,94,1,2
259,594,1752,69758,1119,1,1093,555,1,2
260,724,1882,69761,1119,1,1094,686,1,2
261,594,1752,69757,1119,1,1093,555,1,2
262,594,1752,69755,1119,1,1093,555,1,2
263,997,2155,69752,1119,1,1094,959,1,1
264,678,1836,61572,1634,1,1094,640,1,1
265,743,1901,61573,1634,1,1094,705,1,1
266,638,1796,61588,1634,1,1093,599,1,2
267,678,1836,61592,1634,1,1094,640,1,1
268,638,1796,61586,1634,1,1093,599,1,2
269,213,1372,61594,1634,1,1094,175,1,1
270,678,1836,61595,1634,1,1094,640,1,1
271,441,1599,69651,1731,1,1093,402,1,1
272,314,1472,69652,1731,1,1093,275,1,1
273,441,1599,69655,1731,1,1093,402,1,1
274,314,1472,69649,1731,1,1093,275,1,1
275,441,1599,69654,1731,1,1093,402,1,1
276,782,1940,28235,623,1,1094,744,1,1
277,782,1940,28245,623,1,1094,744,1,1
278,683,1841,11867,1647,1,1094,645,1,1
279,789,1947,36776,801,1,1094,751,1,1
280,789,1947,36777,801,1,1094,751,1,1
281,789,1947,36788,801,1,1094,751,1,1
282,789,1947,36787,801,1,1094,751,1,1
283,789,1947,36789,801,1,1094,751,1,1
284,1121,2279,36892,1218,1,1094,1083,1,1
285,1121,2279,36889,1218,1,1094,1083,1,1
286,1121,2279,36935,1218,1,1094,1083,1,1
287,830,1989,39735,950,1,1095,793,1,2
288,830,1989,39740,950,1,1095,793,1,2
289,1134,2286,15942,750,1,1094,1090,1,1
290,1134,2286,15943,750,1,1094,1090,1,1
291,611,1770,43882,149,1,1094,573,1,3
292,873,2031,43876,149,1,1094,835,1,3
293,612,1771,43885,149,1,1094,574,1,3
294,819,1977,8340,149,1,1094,781,1,3
295,955,2113,8341,149,1,1094,917,1,3
296,83,1232,20035,149,3,1095,46,1,2
297,366,1524,4715,149,1,1093,327,1,3
298,366,1524,4693,149,1,1093,327,1,3
299,995,2153,23183,1787,1,1094,957,1,4
300,1028,2186,69206,1045,1,1094,990,1,2
