ct_registration_number,brand_name,wholesaler_name,wholesaler_credential
LBD.0214866,ALMA BRUT CENTENARY TRADITION,WINEBOW INC,LIW.0000548
LBD.0235347,DECOY FEATHERWEIGHT SAUVIGNON BLANC CALIFORNIA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0235346,SONOMA-CUTRER CHARDONNAY RUSSIAN RIVER VALLEY THE CUTRER,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0191082,ALFIERI VERMOUTH EXTRA DRY,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0191082,ALFIERI VERMOUTH EXTRA DRY,EUSTELA IMPORTS LLC,LIW.0000730
LBD.0221270,ARGYLE ESTATE RESERVE PINOT NOIR 0467 13.8%,WINEBOW INC,LIW.0000548
LBD.0206458,BATTLEHILL GLENTAUCHERS AGED 12 YEARS,WINEBOW INC,LIW.0000548
LBD.0224797,BOWMORE 12YR SHERRY OAK CASK,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0228617,BOZAL TOBALA RESERVA MEZCAL,INTERWINE INC,LIW.0000513
LBD.0230251,BROCCARDO I TRE PAIS BAROLO,VOTTO VINES IMPORTING LLC,LIW.0000625
LBD.0237021,BUZZBALLZ CHILLERS FUEGO TAMARITA,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0237025,BUZZBALLZ COCKTAILS FUEGO TAMARITA,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0231224,CALERA PINOT NOIR CENTRAL COAST,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0231226,CALERA PINOT NOIR MT. HARLAN JENSEN VINEYARD,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0231228,CALERA PINOT NOIR MT. HARLAN RYAN VINEYARD,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0227819,CHANDON RESERVE BLANC DE BLANCS LOS CARNEROS VINEYARD,BRESCOME BARTON INC,LIW.0000506
LBD.0236538,DECOY CABERNET SAUVIGNON ALEXANDER VALLEY LIMITED NP,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0232051,DECOY CABERNET SAUVIGNON CALIFORNIA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0232051,DECOY CABERNET SAUVIGNON CALIFORNIA,WINEBOW INC,LIW.0000548
LBD.0235355,DECOY PINOT NOIR CALIFORNIA NP,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0235355,DECOY PINOT NOIR CALIFORNIA NP,WINEBOW INC,LIW.0000548
LBD.0235237,DECOY ROSE WINE CALIFORNIA,WINEBOW INC,LIW.0000548
LBD.0235237,DECOY ROSE WINE CALIFORNIA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0235353,DECOY SAUVIGNON BLANC NORTH COAST LIMITED,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0218789,DOMAINE BECHTOLD CREMANT D'ALSACE BLANC EXTRA BRUT,LTD,LIW.0000597
LBD.0232170,DOMINIO DEL UROGALLO BLANCO AB-AL,MSW CT LLC,LIW.0000775
LBD.0232170,DOMINIO DEL UROGALLO BLANCO AB-AL,MSW CT LLC,LIW.0000594
LBD.0232171,DOMINIO DEL UROGALLO TINTO AT-VN-MN,MSW CT LLC,LIW.0000594
LBD.0235352,DUCKHORN WINE COMPANY CHARDONNAY SONOMA COAST LIMITED,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0235349,DUCKHORN WINE COMPANY ROSE CALIFORNIA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0235735,DUCKHORN WINE COMPANY SAUVIGNON BLANC CALIFORNIA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0235736,DUCKHORN WINE COMPANY SAUVIGNON BLANC CALIFORNIA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0235351,DUCKHORN WINE COMPANY SAUVIGNON BLANC NORTH COAST ANNIVERSARY CELEBRATION,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0221481,EXCELLIA 'BLANCO' AGAVE TEQUILA,BRESCOME BARTON INC,LIW.0000506
LBD.0221284,FREAKSHOW PETITE PETIT LODI RED WINE,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0228150,FRIENDS SONOMA RED WINE BLEND,LTD,LIW.0000631
LBD.0228150,FRIENDS SONOMA RED WINE BLEND,BRESCOME BARTON INC,LIW.0000506
LBD.0209121,GORDON & MACPHAIL CC CASK STRENGTH - CAOL ILA 2008,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0216147,HEAVEN'S DOOR AGED 10 YEARS DECADE SERIES III DOUBLE BARREL WHISKEY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0218784,JEROME CHEZEAUX BOURGOGNE ROUGE,LTD,LIW.0000597
LBD.0218792,JOSEF FISCHER GRUNER VELTLINER WACHAU FEDERSPIEL,LTD,LIW.0000597
LBD.0234867,LIBERATED CARBONATED WINE BUBBLY ROSE CA CANNED,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0234868,LIBERATED CHARDONNAY CA CANNED,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
